case_id,track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
5,1,1,100,others,322.413,209.931,33.583,-4.404,6.153,4.042,1.594
5,2,1,100,others,340.91,211.286,36.382,-5.257,6.14,4.626,1.89
5,3,1,100,others,265.496,212.025,25.841,-2.105,6.202,4.528,1.946
5,4,1,100,others,352.631,205.432,33.316,-5.318,6.125,4.648,1.804
5,5,1,100,agent,379.376,197.342,31.351,-5.908,6.097,5.024,2.258
5,6,1,100,others,168.978,219.884,35.928,0.054,0.001,7.145,2.162
5,7,1,100,others,251.84,212.218,26.1,-1.769,6.215,4.857,1.978
5,8,1,100,others,110.833,214.108,24.506,1.192,0.048,13.227,2.687
5,1,2,200,others,325.101,209.573,33.592,-4.482,6.15,4.042,1.594
5,2,2,200,others,343.821,210.861,36.38,-5.347,6.137,4.626,1.89
5,3,2,200,others,267.564,211.856,25.841,-2.154,6.2,4.528,1.946
5,4,2,200,others,355.297,205.002,33.35,-5.402,6.122,4.648,1.804
5,5,2,200,agent,381.884,196.868,31.352,-5.964,6.095,5.024,2.258
5,6,2,200,others,171.854,219.884,35.937,-0.035,6.282,7.145,2.162
5,7,2,200,others,253.928,212.073,26.089,-1.818,6.213,4.857,1.978
5,8,2,200,others,112.796,214.202,24.523,1.15,0.047,13.227,2.687
5,1,3,300,others,327.79,209.21,33.6,-4.56,6.148,4.042,1.594
5,2,3,300,others,346.732,210.429,36.377,-5.438,6.135,4.626,1.89
5,3,3,300,others,269.632,211.682,25.839,-2.204,6.198,4.528,1.946
5,4,3,300,others,357.967,204.566,33.383,-5.486,6.12,4.648,1.804
5,5,3,300,agent,384.393,196.389,31.353,-6.019,6.094,5.024,2.258
5,6,3,300,others,174.731,219.877,35.944,-0.123,6.28,7.145,2.162
5,7,3,300,others,256.015,211.924,26.078,-1.866,6.211,4.857,1.978
5,8,3,300,others,114.76,214.293,24.539,1.108,0.045,13.227,2.687
5,1,4,400,others,330.479,208.841,33.606,-4.638,6.146,4.042,1.594
5,2,4,400,others,349.642,209.991,36.374,-5.528,6.133,4.626,1.89
